date,open,high,low,close,volume
2022-01-03,153.3868,154.5583,152.5533,152.9434,5156010
2022-01-04,152.8223,153.7493,152.5014,153.1678,5092438
2022-01-05,157.6178,158.2999,156.3110,157.5117,1017666
2022-01-06,156.7054,158.1966,155.7790,156.9383,1857543
2022-01-07,157.4176,157.5032,156.5653,157.4632,4197772
2022-01-10,154.3373,156.2165,153.5230,155.0908,7406388
2022-01-11,152.7554,153.1114,152.2671,152.6195,2835268
2022-01-12,152.3002,154.4714,151.6663,153.0534,5667877
2022-01-13,153.9633,154.9991,152.8491,154.0297,3486302
2022-01-14,155.7756,156.8994,154.4763,155.5828,4540890
2022-01-17,150.4799,150.7976,150.0523,150.5119,5188952
2022-01-18,151.7823,152.9750,151.7299,152.0792,3036250
2022-01-19,151.7242,153.0440,151.1671,152.0334,6897533
2022-01-20,152.1891,152.8145,151.1790,152.6825,1905393
2022-01-21,152.8564,153.8248,152.1078,153.2222,1248092
2022-01-24,151.3803,152.6645,150.4001,151.3305,5850091
2022-01-25,150.4011,151.1565,148.8113,150.2872,7463616
2022-01-26,152.5619,153.3985,151.2986,151.9130,3884220
2022-01-27,154.6989,155.5293,154.2823,154.8185,5596926
2022-01-28,151.6453,152.5391,150.3458,151.9560,7211792
2022-01-31,150.7937,151.9785,150.4838,150.8061,1470796
2022-02-01,148.7452,149.5699,147.3123,148.7117,4467850
2022-02-02,146.6961,147.2038,145.8803,146.6701,6230208
2022-02-03,146.9049,148.0447,145.7229,147.1620,6329879
2022-02-04,148.8511,150.1327,147.3122,148.4979,7686538
2022-02-07,151.0390,151.6521,149.6139,151.6029,1591006
2022-02-08,152.0377,152.0598,150.8613,152.0098,3093454
2022-02-09,152.1173,152.3981,151.1394,151.5794,2404842
2022-02-10,153.4380,153.6960,152.7041,153.1220,6969248
2022-02-11,152.6365,153.3943,152.0071,152.1809,3617287
2022-02-14,150.6270,150.9102,150.2577,150.4213,7124960
2022-02-15,148.9112,149.8261,147.6945,148.9241,1174634
2022-02-16,149.6122,149.6650,147.8820,149.3153,4738538
2022-02-17,147.9822,149.2195,147.6557,148.4111,6291297
2022-02-18,148.9061,149.5830,147.9404,149.2499,4312644
2022-02-21,146.9855,148.4323,146.3589,147.4593,7186189
2022-02-22,146.4885,147.7711,145.3128,145.7594,1641276
2022-02-23,144.5197,145.5947,143.2881,143.8869,3116933
2022-02-24,146.0935,147.3361,144.9590,145.8202,2825280
2022-02-25,148.5361,148.8819,147.2471,148.6270,7543259
2022-02-28,147.5760,148.4733,147.0640,147.9142,2726054
2022-03-01,143.4534,144.5759,142.7472,143.7259,6586456
2022-03-02,142.0149,142.0394,140.9329,141.8009,4374944
2022-03-03,142.1398,142.4574,141.6739,142.1718,5725642
2022-03-04,142.3563,142.9142,141.3962,142.6104,4181242
2022-03-07,144.3318,145.7160,143.3401,144.4414,5064269
2022-03-08,144.4306,144.8800,144.3723,144.7855,2115827
2022-03-09,147.7049,148.0194,146.0213,147.1382,6034916
2022-03-10,145.4807,145.9819,145.3150,145.4889,2972912
2022-03-11,147.2334,148.9385,145.9271,147.5306,2135364
2022-03-14,144.0101,144.7110,143.4246,144.2484,4189602
2022-03-15,146.4478,148.0499,145.9486,146.8333,6160554
2022-03-16,142.2488,142.6979,141.4660,142.5886,5747671
2022-03-17,144.2103,145.4949,143.2854,144.0988,1958952
2022-03-18,142.5216,143.6433,141.2821,142.4614,1103865
2022-03-21,142.1958,142.8159,141.0211,142.2277,7625978
2022-03-22,143.8528,145.2743,143.1945,143.7999,1969372
2022-03-23,140.8659,141.0898,139.5475,140.7367,4649907
2022-03-24,142.3742,143.9048,141.0797,142.5220,3466448
2022-03-25,139.2234,139.7980,138.9343,139.3598,3662681
2022-03-28,139.7060,141.0788,139.2832,139.6960,6004397
2022-03-29,139.0962,139.6505,138.7569,138.8460,3662120
2022-03-30,144.1550,144.4597,143.8448,144.2990,6182539
2022-03-31,144.5359,146.3972,143.8581,145.1379,3984893
2022-04-01,145.3880,145.8348,144.6690,145.0263,1682570
2022-04-04,145.3567,146.5664,145.2251,145.4706,5818049
2022-04-05,141.7650,142.8512,141.3300,142.2955,3745099
2022-04-06,144.2730,145.1083,142.4775,143.8024,3062323
2022-04-07,142.7871,143.6138,141.6297,142.4788,3056031
2022-04-08,143.7573,144.3348,142.8617,143.2457,1594889
2022-04-11,143.1710,143.2444,142.0961,143.2302,4013115
2022-04-12,139.0195,139.2338,138.2990,138.9960,7668804
2022-04-13,138.1556,139.0747,137.6179,137.8654,2254624
2022-04-14,141.6790,142.1821,141.5276,141.7289,5314749
2022-04-15,142.9003,143.4162,142.6048,143.2353,5575926
2022-04-18,143.7011,144.1944,142.4034,143.7401,7743235
2022-04-19,142.1791,143.8428,140.7759,142.4984,2723306
2022-04-20,143.8089,144.0360,142.5079,143.5339,6601734
2022-04-21,144.1386,145.1217,142.9987,143.6404,4608539
2022-04-22,141.0137,142.3224,140.3745,141.1211,4319459
2022-04-25,141.6844,142.5225,140.5607,141.8335,4495397
2022-04-26,142.2789,143.2713,141.4536,142.2871,5979027
2022-04-27,143.6550,144.8458,142.9269,143.4977,4364520
2022-04-28,144.0879,144.7881,143.7223,143.9779,3661215
2022-04-29,140.8944,141.5143,139.9272,140.8967,7135612
2022-05-02,141.4591,142.4308,139.8664,141.2172,6979786
2022-05-03,139.1328,140.3947,137.6710,138.9462,3308757
2022-05-04,140.3988,141.7272,139.3273,140.4330,6413071
2022-05-05,141.2503,142.4492,140.0031,141.3663,3615585
2022-05-06,141.0962,141.8755,140.6368,140.8695,6882729
2022-05-09,140.2931,141.8743,139.0352,140.6698,5311335
2022-05-10,139.4521,139.8770,139.1487,139.5273,5777457
2022-05-11,138.3992,139.5628,137.8544,138.8753,6343316
2022-05-12,137.7398,137.9668,136.4663,137.4697,1341489
2022-05-13,136.6056,136.9723,136.4676,136.6236,7181628
2022-05-16,140.7228,141.2910,139.6312,141.0947,6534110
