date,open,high,low,close,volume
2022-01-03,433.6590,435.0745,429.0151,433.1706,5451818
2022-01-04,434.1805,436.8412,432.8404,436.4062,2734095
2022-01-05,422.7391,424.2977,422.5126,423.6539,2371955
2022-01-06,427.1561,431.1793,425.3804,426.2211,4350670
2022-01-07,420.6402,425.0303,417.1788,421.3375,4484534
2022-01-10,422.7550,425.3993,422.1427,422.2086,2305665
2022-01-11,423.6540,425.6784,419.6545,424.7623,4301806
2022-01-12,426.8481,428.3288,425.7721,426.6205,4586163
2022-01-13,423.2097,426.4763,418.7674,421.4349,3057879
2022-01-14,420.5220,423.6743,419.5583,420.3673,4402331
2022-01-17,418.4384,420.3301,416.0305,417.6667,2079786
2022-01-18,415.1206,418.6687,411.0311,415.8470,5853417
2022-01-19,415.8648,416.9835,412.7133,416.8400,3802072
2022-01-20,421.2397,423.8215,419.5391,421.0471,5668234
2022-01-21,420.5527,425.4463,418.4540,421.9092,2458777
2022-01-24,411.4144,412.9420,407.0409,410.6377,2398669
2022-01-25,413.3162,417.6341,410.4151,414.3513,6252762
2022-01-26,407.5047,408.0041,404.4965,407.1679,7235581
2022-01-27,411.6598,415.5111,410.3295,411.5998,3312380
2022-01-28,415.5936,416.0578,415.1699,415.3289,6818465
2022-01-31,426.3036,430.1497,425.2383,426.2595,6071599
2022-02-01,420.6547,421.4567,420.1787,420.6466,6822528
2022-02-02,420.2723,424.4063,419.7117,421.4495,4774464
2022-02-03,411.4086,414.8288,407.5857,410.6735,7011091
2022-02-04,415.9147,417.8440,414.9834,415.6458,5855882
2022-02-07,408.7475,412.3481,406.0680,409.2600,4940980
2022-02-08,408.8897,411.1448,404.3601,408.2448,2352035
2022-02-09,414.0795,414.7688,411.0749,412.8459,6801232
2022-02-10,411.7547,412.7096,410.2831,410.9714,2438358
2022-02-11,400.0949,401.9759,396.3889,400.6530,7527546
2022-02-14,407.3558,407.6607,403.0102,406.3357,6796690
2022-02-15,408.2229,411.2916,406.5113,407.0484,4318588
2022-02-16,418.7996,419.2887,416.2759,419.0527,2105479
2022-02-17,406.2820,407.4688,405.2575,405.9030,2963542
2022-02-18,402.7566,407.1238,400.6476,403.1940,4506158
2022-02-21,405.0948,408.9499,404.5595,406.0966,6527568
2022-02-22,395.0560,398.7348,394.5396,395.1732,5464779
2022-02-23,395.8435,396.8445,393.5821,395.7539,7023761
2022-02-24,408.0302,410.2569,405.1804,407.6752,2944247
2022-02-25,403.4646,406.0234,399.1298,401.9708,6664473
2022-02-28,408.4778,410.4921,403.1928,407.1813,3075449
2022-03-01,408.8158,410.1838,407.6283,408.6366,4835137
2022-03-02,404.7987,407.1027,404.6203,406.3623,1304918
2022-03-03,406.2965,408.8564,402.7512,406.0422,6048296
2022-03-04,397.7173,398.6680,395.3622,396.3789,2593646
2022-03-07,399.5684,403.0326,396.0735,399.0190,4039698
2022-03-08,401.0732,404.6247,399.4937,401.2337,4841503
2022-03-09,401.7143,403.3071,397.7583,401.5916,6765582
2022-03-10,397.5448,399.9294,396.8420,396.8750,3115891
2022-03-11,395.5339,400.3555,395.3033,396.9832,4392597
2022-03-14,392.7188,395.4905,391.5744,392.2995,6356937
2022-03-15,396.1785,399.5485,395.0352,395.1519,1325422
2022-03-16,395.4738,396.3528,393.0459,395.5502,4993551
2022-03-17,396.7920,400.6308,393.8345,398.2478,2873606
2022-03-18,396.6561,400.0877,393.8723,397.0542,7581949
2022-03-21,398.1049,398.2468,396.3324,397.4849,6298768
2022-03-22,383.0255,383.0860,379.4412,382.6332,6555975
2022-03-23,383.5908,386.7979,380.4862,382.8110,2288898
2022-03-24,383.0892,386.5293,381.4920,383.6147,5829508
2022-03-25,378.5504,381.3400,375.8195,379.9441,2847768
2022-03-28,381.4156,384.9630,379.9850,381.0398,3909494
2022-03-29,377.3565,379.8078,376.3612,378.5675,3981764
2022-03-30,377.2338,380.5404,374.8562,377.4858,6311026
2022-03-31,384.3986,387.7080,380.7492,384.3394,4013089
2022-04-01,379.7762,382.7310,377.2643,380.0667,3943855
2022-04-04,377.8472,381.3073,373.4114,376.9888,1751711
2022-04-05,371.3309,374.0332,367.4629,370.4856,2815956
2022-04-06,368.5706,371.6232,366.7638,367.8666,5284201
2022-04-07,364.8342,366.9566,363.2692,364.4447,4239707
2022-04-08,357.0878,359.1032,354.0209,356.9350,2843399
2022-04-11,358.3551,359.6758,355.0246,357.2297,7274594
2022-04-12,363.2711,366.6329,360.4831,363.0207,6412386
2022-04-13,366.1904,368.0441,363.1969,366.2197,1272615
2022-04-14,374.3257,377.8083,371.5758,374.3432,1902631
2022-04-15,377.9383,380.6560,375.4375,376.8388,4779801
2022-04-18,375.6088,376.2939,372.8481,375.4289,2794543
2022-04-19,378.0074,379.6793,376.6418,378.0737,2508947
2022-04-20,372.3854,373.7090,369.4061,371.6290,2184677
2022-04-21,368.4461,371.4897,367.5853,368.5466,5616445
2022-04-22,370.1386,373.3349,368.5569,368.8207,1665212
2022-04-25,371.4380,374.2678,367.4877,370.6786,3696687
2022-04-26,371.4885,375.1666,370.0151,371.2004,7796790
2022-04-27,375.1369,376.5992,372.0460,375.2712,5804506
2022-04-28,379.0457,380.1802,375.3166,379.1064,7483285
2022-04-29,378.3670,381.3117,377.9802,378.7312,5477246
2022-05-02,378.2753,381.6678,377.1777,377.9433,4882183
2022-05-03,375.5468,378.3381,375.2689,376.7729,3850885
2022-05-04,371.0112,373.3874,369.2324,370.8359,4184234
2022-05-05,361.6313,364.5133,360.1875,362.4306,4327009
2022-05-06,367.1401,370.1585,363.4837,366.7295,3945286
2022-05-09,362.2949,365.6716,359.4598,361.7877,7902547
2022-05-10,363.5587,365.2447,360.5688,364.8219,5811286
2022-05-11,373.6083,377.0600,371.7889,373.6436,3883530
2022-05-12,374.3461,377.4243,370.7969,373.7012,6229687
2022-05-13,373.7372,376.6155,370.1149,374.1472,3000464
2022-05-16,383.0690,386.7530,380.7238,382.3156,5849749
2022-05-17,379.1503,381.0425,378.2867,379.3007,3624034
2022-05-18,383.9308,385.1929,378.9776,382.4429,2154077
2022-05-19,376.0616,379.1527,371.6008,375.3304,3363546
2022-05-20,384.3605,384.4926,380.4417,384.0813,4078303
2022-05-23,387.4933,390.4754,384.8380,388.2307,6339218
2022-05-24,381.0278,382.5929,378.1675,381.0529,3124761
2022-05-25,380.0324,383.7361,379.4514,380.0199,1542551
2022-05-26,378.8581,381.4844,377.6382,379.0693,2811089
2022-05-27,388.4801,391.8620,385.8625,387.1816,2886680
2022-05-30,389.4392,390.6104,387.0933,388.6694,5090481
2022-05-31,389.0941,390.9829,387.2796,389.9538,4816031
2022-06-01,395.2052,398.7244,394.3437,395.5792,4071101
2022-06-02,392.9643,394.0132,390.7387,393.3276,4834874
2022-06-03,385.2991,385.7351,384.4701,385.6463,7269314
2022-06-06,393.7239,396.2859,391.1484,392.9113,3729006
2022-06-07,390.9990,394.8572,390.1051,391.2456,1760338
2022-06-08,389.6913,390.6048,388.2326,389.1868,4277628
2022-06-09,388.3698,391.3987,387.2822,388.4342,1975715
2022-06-10,382.6356,383.0059,382.3323,382.5684,3885440
2022-06-13,375.6543,377.9122,374.8306,375.5839,7084055
2022-06-14,365.5410,368.2867,361.8229,364.1914,4093137
2022-06-15,374.3520,375.4073,370.4100,373.7454,4088423
2022-06-16,376.2043,379.1105,374.1121,375.4975,4735099
2022-06-17,371.7368,372.2121,368.2661,371.0267,2338179
2022-06-20,367.7829,368.2397,363.5607,366.7718,2102694
2022-06-21,365.1576,368.0100,364.6845,365.2429,4962970
2022-06-22,364.4293,364.9625,364.0866,364.4007,6068833
2022-06-23,366.0900,367.2404,365.5365,366.2874,7890086
2022-06-24,365.1293,369.0321,362.5311,365.7835,5851597
2022-06-27,360.0622,363.4617,359.7177,359.7618,2620401
2022-06-28,354.7315,357.2909,354.3254,354.8366,2583130
2022-06-29,364.7517,367.6319,361.2254,364.6083,7972070
2022-06-30,367.2667,370.2395,365.7361,367.7439,6478326
2022-07-01,357.7896,360.3443,356.8533,358.2032,2476408
2022-07-04,358.6608,359.4792,358.0405,358.8010,6994184
2022-07-05,363.0638,365.4693,360.1976,362.5926,3589565
2022-07-06,365.5144,365.5148,361.9076,365.2315,2439511
2022-07-07,362.0625,362.5738,361.7955,361.8131,4919795
2022-07-08,363.2944,366.2808,361.4834,363.2967,3138796
2022-07-11,354.4418,356.9050,352.0889,354.1692,6094147
2022-07-12,356.9232,358.4294,353.4960,357.5849,7252919
2022-07-13,361.1225,363.5110,360.4449,361.7233,2607447
2022-07-14,366.1835,366.3484,362.6769,365.7949,2565457
2022-07-15,366.3323,367.9730,363.8337,365.4139,7517998
2022-07-18,372.8376,373.0033,370.7129,372.8558,3624508
2022-07-19,375.4119,380.0054,371.9992,376.5516,5631391
2022-07-20,377.1347,379.0239,375.1085,376.5278,3052753
2022-07-21,372.5843,375.8455,371.5538,372.6577,3674653
2022-07-22,368.6448,371.1187,368.3383,368.9098,5160751
2022-07-25,375.4321,378.4730,371.3794,374.2303,5613848
2022-07-26,372.3884,376.0349,372.0844,372.7752,4706410
2022-07-27,360.4458,361.5911,357.2552,360.2068,5343327
2022-07-28,363.0510,365.5642,361.4737,362.0032,3875985
2022-07-29,355.6033,356.4274,352.4272,355.8170,6329312
2022-08-01,358.0924,359.1514,356.1564,358.4182,5762997
2022-08-02,355.8995,357.8833,354.7213,356.2462,1242238
2022-08-03,355.4144,356.2368,353.5204,355.0058,5085319
2022-08-04,356.6687,359.6064,356.0025,356.3521,6194360
2022-08-05,346.0472,347.9354,345.2632,345.7468,1108153
2022-08-08,355.0065,358.1826,354.3300,355.1589,6479143
2022-08-09,348.6189,350.3235,346.6317,348.2463,5142206
2022-08-10,338.7617,339.6481,337.3584,338.4977,1532550
2022-08-11,331.4590,332.7442,329.8825,331.1885,1571337
2022-08-12,330.5288,332.7389,329.5599,330.0445,2570971
2022-08-15,322.0607,325.9145,320.7602,322.9319,6995446
2022-08-16,322.1344,322.5480,318.3509,321.2710,6161282
2022-08-17,319.1467,319.4717,316.6402,318.8332,4200003
2022-08-18,324.8056,325.9563,324.0304,324.4076,6146916
2022-08-19,324.0611,326.0261,323.3476,324.5150,2519682
2022-08-22,319.3546,320.6049,319.1173,319.1775,2038565
2022-08-23,320.8019,324.0160,319.7896,320.8112,1896998
2022-08-24,318.7941,320.8268,317.7531,318.6218,3996346
2022-08-25,315.9248,318.2368,315.4926,316.6659,7031110
2022-08-26,316.6359,317.7866,314.9390,316.5059,7377920
2022-08-29,324.8109,325.6732,324.6486,324.9180,6539936
2022-08-30,321.9544,323.6325,320.1854,322.0714,2607560
2022-08-31,330.3598,330.3778,328.9576,329.3932,7239389
2022-09-01,330.6190,331.1744,329.7066,330.4474,2262195
2022-09-02,332.6566,335.1498,331.8509,332.9980,7024273
2022-09-05,332.3470,334.6139,329.2275,332.8935,2959828
2022-09-06,335.8096,337.8105,333.5768,336.5363,7040082
2022-09-07,334.2071,336.5953,332.9158,334.3836,5220393
2022-09-08,342.0629,342.4571,338.9911,340.7928,5546390
2022-09-09,345.9817,347.6573,343.0253,344.6426,3715576
2022-09-12,349.0998,351.1504,347.3370,349.5912,7453000
2022-09-13,339.6961,340.3591,336.9929,339.9800,1259677
2022-09-14,342.1888,344.1213,340.8875,341.8017,4193999
2022-09-15,341.8352,343.3578,339.4598,341.6518,7506532
2022-09-16,340.8721,345.2573,340.1490,342.2961,6203718
2022-09-19,346.4952,346.5732,345.9069,346.4326,2714818
2022-09-20,342.6017,345.6085,340.8822,343.3961,2606828
2022-09-21,343.3319,346.7316,339.8976,342.6601,4150707
2022-09-22,342.4455,346.3758,341.4332,343.8417,3509425
2022-09-23,346.7529,347.1823,344.1911,346.4415,6516889
2022-09-26,353.7653,356.8228,350.3525,354.6578,4229605
2022-09-27,353.7577,356.0036,351.6956,353.6065,2289579
2022-09-28,357.7015,359.9168,354.2325,357.7533,7055576
2022-09-29,356.1384,359.6542,354.3457,355.9371,3060126
2022-09-30,355.8325,357.4296,353.0901,355.3856,2631441
2022-10-03,362.8382,363.7058,359.6359,363.0077,4603812
2022-10-04,364.0270,364.2043,360.6430,363.8095,2197366
2022-10-05,360.8784,362.2890,360.3291,360.6872,4660491
2022-10-06,367.1283,370.5606,364.1590,367.6756,5853538
2022-10-07,362.2326,363.7551,361.3810,361.4995,3740765
2022-10-10,362.4113,362.7249,358.5937,361.5645,7621199
2022-10-11,359.9423,360.2455,356.9880,360.0383,3837647
2022-10-12,358.8562,362.0502,355.5348,358.7597,5082648
2022-10-13,359.4275,360.9722,356.0800,358.7296,4074313
2022-10-14,353.1812,355.6504,350.3130,352.4734,4360599
2022-10-17,349.9006,353.2620,346.3828,349.0000,6346236
2022-10-18,348.1477,349.2844,347.9482,348.3595,2787954
2022-10-19,342.8103,345.3157,339.1537,342.4570,1551587
2022-10-20,340.5662,342.6864,337.7001,339.5009,7809539
2022-10-21,347.3247,347.8290,346.6093,347.1560,6362511
2022-10-24,351.8793,355.3133,351.0920,352.6059,5591031
2022-10-25,356.6924,357.5082,356.0712,356.5893,1479104
2022-10-26,351.6402,355.1502,348.7904,351.7406,4006921
2022-10-27,351.2715,353.7776,347.8519,351.7681,6794313
2022-10-28,348.7926,351.7653,346.4450,348.7143,1898953
2022-10-31,355.7683,357.7024,352.1770,355.7284,4300199
2022-11-01,346.2900,349.2391,345.9047,347.0607,7042762
2022-11-02,351.8538,353.1216,348.2823,351.0007,3377250
2022-11-03,354.6348,356.8671,350.7716,353.6910,4857502
2022-11-04,354.6319,357.2327,351.1898,354.8091,2175562
2022-11-07,351.9075,354.9512,348.4315,351.7827,2442838
2022-11-08,347.4620,349.7105,345.3475,347.7097,4038683
2022-11-09,350.1691,350.7847,347.3151,347.5036,7378247
2022-11-10,346.8914,347.5852,346.8709,347.0956,6558759
2022-11-11,350.5284,352.0399,349.4103,349.8402,1668986
2022-11-14,351.5418,353.2224,348.1511,351.4892,4774553
2022-11-15,352.2427,355.3478,351.8855,353.3849,5265803
2022-11-16,354.3475,357.4069,353.5565,355.2301,7404110
2022-11-17,349.3098,350.6027,347.2931,349.5651,5038704
2022-11-18,342.2939,343.6401,341.3743,341.8797,2489234
2022-11-21,342.4196,345.4943,340.7104,342.6568,1034071
2022-11-22,350.3061,353.5105,349.5390,349.6418,5322075
2022-11-23,347.5192,350.2725,346.1299,346.5797,6170550
2022-11-24,343.0823,346.1188,341.9342,343.1572,7371438
2022-11-25,338.8608,339.4343,337.2631,338.4867,7493298
2022-11-28,337.8892,340.9620,334.7882,337.4702,1976175
2022-11-29,333.7889,334.3411,331.0955,333.0156,3310465
2022-11-30,336.4155,339.6693,334.5083,337.8922,2876639
2022-12-01,335.3380,337.9393,333.0594,335.6753,6486912
2022-12-02,341.4830,344.7538,338.1352,341.5857,3600682
2022-12-05,342.5015,344.5524,339.9117,342.4989,3377612
